"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","510","Создание заказа без ингредиентов","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","425","Изменение данных пользователя без авторизации","tests.user","2025-12-03","passed","2025-12-03","TestEditDataUser","test_edit_data_user","",""
"","358","Аторизация с неверным логином и паролем","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","347","Создание заказа с неверным хешем ингредиентов под неавторизованным пользователем","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","1382","Успешная регистрация пользователя","tests.user","2025-12-03","passed","2025-12-03","TestRegisterUser","test_register_user","",""
"","362","Создание заказа без авторизации","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","354","Аторизация с неверным логином и паролем","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","353","Создание заказа с неверным хешем ингредиентов под неавторизованным пользователем","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","522","Регистрация пользователя без обязательного поля","tests.user","2025-12-03","passed","2025-12-03","TestRegisterUser","test_register_user","",""
"","427","Аторизация с неверным логином и паролем","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","3796","Создание заказа с авторизацией","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","788","Создание заказа с неверным хешем ингредиентов под авторизованным пользователем","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","351","Создание пользователя, который уже зарегистрирован","tests.user","2025-12-03","passed","2025-12-03","TestRegisterUser","test_register_user","",""
"","781","Создание заказа с неверным хешем ингредиентов под авторизованным пользователем","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","1000","Успешная изменение данных авторизованного пользователя","tests.user","2025-12-03","passed","2025-12-03","TestEditDataUser","test_edit_data_user","",""
"","433","Успешная авторизация пользователя","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","355","Получение заказов без авторизации","tests.order","2025-12-03","passed","2025-12-03","TestGetOrders","test_get_orders","",""
"","351","Аторизация с неверным логином и паролем","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","521","Регистрация пользователя без обязательного поля","tests.user","2025-12-03","passed","2025-12-03","TestRegisterUser","test_register_user","",""
"","1226","Получение заказов с авторизацией","tests.order","2025-12-03","passed","2025-12-03","TestGetOrders","test_get_orders","",""
"","885","Создание заказа без ингредиентов","tests.order","2025-12-03","passed","2025-12-03","TestCreateOrder","test_create_order","",""
"","502","Регистрация пользователя без обязательного поля","tests.user","2025-12-03","passed","2025-12-03","TestRegisterUser","test_register_user","",""
"","448","Аторизация с неверным логином и паролем","tests.user","2025-12-03","passed","2025-12-03","TestLoginrUser","test_login_user","",""
"","1106","Успешная изменение данных авторизованного пользователя","tests.user","2025-12-03","passed","2025-12-03","TestEditDataUser","test_edit_data_user","",""
